user_id,id,name,artist,album,release_date,popularity,duration_ms,explicit,uri,album_genre,artist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,track_href,analysis_url,time_signature
derek,63zmiYZRPVSRLoYXbqfLPv,Dawn,Jeremy Soule,The Elder Scrolls V: Skyrim: Original Game Soundtrack,2013-01-31,54,237794,False,spotify:track:63zmiYZRPVSRLoYXbqfLPv,Unknown,orchestral soundtrack,0.133,0.0297,9.0,-29.885,0.0,0.044,0.98,0.956,0.0906,0.0322,88.834,audio_features,https://api.spotify.com/v1/tracks/63zmiYZRPVSRLoYXbqfLPv,https://api.spotify.com/v1/audio-analysis/63zmiYZRPVSRLoYXbqfLPv,1.0
derek,72pGB4XOzAE45n0Zt7wP5A,I'll Go,Direct,Cold Ground,2019-10-22,47,261253,False,spotify:track:72pGB4XOzAE45n0Zt7wP5A,Unknown,chillstep,0.396,0.579,10.0,-7.733,1.0,0.0433,0.197,0.00905,0.0974,0.0587,150.105,audio_features,https://api.spotify.com/v1/tracks/72pGB4XOzAE45n0Zt7wP5A,https://api.spotify.com/v1/audio-analysis/72pGB4XOzAE45n0Zt7wP5A,4.0
derek,5jnoK2o5jY46qhPR30RepX,Move On,Grant,Move On,2021-04-23,49,182250,False,spotify:track:5jnoK2o5jY46qhPR30RepX,Unknown,electro house,0.492,0.812,8.0,-5.446,1.0,0.119,0.132,0.0,0.26,0.607,80.281,audio_features,https://api.spotify.com/v1/tracks/5jnoK2o5jY46qhPR30RepX,https://api.spotify.com/v1/audio-analysis/5jnoK2o5jY46qhPR30RepX,4.0
derek,3MEYFivt6bilQ9q9mFWZ4g,Alone,Marshmello,Alone,2016-05-13,72,273803,False,spotify:track:3MEYFivt6bilQ9q9mFWZ4g,Unknown,brostep,0.631,0.953,2.0,-3.739,1.0,0.0343,0.0241,0.0155,0.108,0.422,141.99,audio_features,https://api.spotify.com/v1/tracks/3MEYFivt6bilQ9q9mFWZ4g,https://api.spotify.com/v1/audio-analysis/3MEYFivt6bilQ9q9mFWZ4g,4.0
derek,3AayefDdUFxivRs79bX7kV,We Won't Be Alone,Feint,We Won't Be Alone,2015-09-18,58,234475,False,spotify:track:3AayefDdUFxivRs79bX7kV,Unknown,chillstep,0.377,0.858,11.0,-4.9,0.0,0.148,0.134,0.00185,0.0985,0.117,174.751,audio_features,https://api.spotify.com/v1/tracks/3AayefDdUFxivRs79bX7kV,https://api.spotify.com/v1/audio-analysis/3AayefDdUFxivRs79bX7kV,4.0
derek,0U8QAxIRSIiJDrbM4LovUY,Firework,Hollywood Principle,"Rocket League: Official Game Soundtrack, Vol. 2",2016-07-07,0,187375,False,spotify:track:0U8QAxIRSIiJDrbM4LovUY,Unknown,Unknown,0.665,0.895,9.0,-5.513,0.0,0.0508,6.09e-05,0.223,0.0621,0.593,119.993,audio_features,https://api.spotify.com/v1/tracks/0U8QAxIRSIiJDrbM4LovUY,https://api.spotify.com/v1/audio-analysis/0U8QAxIRSIiJDrbM4LovUY,4.0
derek,2ktaGvlb0uE3tUQXy2oXoo,Scared,SABAI,Scared,2021-08-20,58,170000,False,spotify:track:2ktaGvlb0uE3tUQXy2oXoo,Unknown,melodic dubstep,0.712,0.798,11.0,-4.635,0.0,0.0392,0.00604,5.32e-06,0.111,0.488,125.942,audio_features,https://api.spotify.com/v1/tracks/2ktaGvlb0uE3tUQXy2oXoo,https://api.spotify.com/v1/audio-analysis/2ktaGvlb0uE3tUQXy2oXoo,4.0
derek,359dqboVug8CoRUE8WNVGf,Keep Up The Pace,Stonebank,Keep Up The Pace,2021-08-19,52,192505,False,spotify:track:359dqboVug8CoRUE8WNVGf,Unknown,brostep,0.61,0.928,10.0,-5.264,0.0,0.0657,0.00183,0.763,0.178,0.468,123.999,audio_features,https://api.spotify.com/v1/tracks/359dqboVug8CoRUE8WNVGf,https://api.spotify.com/v1/audio-analysis/359dqboVug8CoRUE8WNVGf,4.0
derek,1yv3aBLO9rgyEHmAR7jI1M,ROCK IT,Tokyo Machine,ROCK IT,2017-06-06,52,191250,False,spotify:track:1yv3aBLO9rgyEHmAR7jI1M,Unknown,gaming edm,0.868,0.55,0.0,-4.732,0.0,0.171,0.00745,0.839,0.0407,0.615,128.018,audio_features,https://api.spotify.com/v1/tracks/1yv3aBLO9rgyEHmAR7jI1M,https://api.spotify.com/v1/audio-analysis/1yv3aBLO9rgyEHmAR7jI1M,4.0
derek,35mtjM30xXExEbkEj3z1a0,That's What Friends are For (The Vulture Song),Chad Stuart,The Jungle Book,1997-01-01,41,126147,False,spotify:track:35mtjM30xXExEbkEj3z1a0,Unknown,Unknown,0.508,0.161,9.0,-15.741,0.0,0.086,0.889,0.0,0.0982,0.447,127.804,audio_features,https://api.spotify.com/v1/tracks/35mtjM30xXExEbkEj3z1a0,https://api.spotify.com/v1/audio-analysis/35mtjM30xXExEbkEj3z1a0,4.0
